StartX,StartY,EndX,EndY
30.812,-6.536,30.812,6.536
30.311,-6.524,30.311,6.524
29.810,-6.513,29.810,6.513
29.309,-6.506,29.309,6.506
28.808,-6.502,28.808,6.502
28.307,-6.500,28.307,6.500
27.806,-6.500,27.806,6.500
27.305,-6.500,27.305,6.500
26.804,-6.500,26.804,6.500
26.303,-6.500,26.303,6.500
25.802,-6.500,25.802,6.500
25.301,-6.500,25.301,6.500
24.800,-6.500,24.800,6.500
24.299,-6.500,24.299,6.500
23.798,-6.500,23.798,6.500
23.297,-6.500,23.297,6.500
22.796,-6.500,22.796,6.500
22.295,-6.500,22.295,6.500
21.794,-6.500,21.794,6.500
21.293,-6.500,21.293,6.500
20.792,-6.500,20.792,6.500
20.291,-6.500,20.291,6.500
19.790,-6.500,19.790,6.500
19.289,-6.500,19.289,6.500
18.788,-6.500,18.788,6.500
18.287,-6.500,18.287,6.500
17.786,-6.500,17.786,6.500
17.285,-6.500,17.285,6.500
16.784,-6.500,16.784,6.500
16.283,-6.500,16.283,6.500
15.782,-6.500,15.782,6.500
15.281,-6.500,15.281,6.500
14.780,-6.500,14.780,6.500
14.279,-6.500,14.279,6.500
13.778,-6.500,13.778,6.500
13.277,-6.500,13.277,6.500
12.776,-6.500,12.776,6.500
12.275,-6.500,12.275,6.500
11.774,-6.500,11.774,6.500
11.273,-6.500,11.273,6.500
10.772,-6.500,10.772,6.500
10.271,-6.500,10.271,6.500
9.770,-6.500,9.770,6.500
9.269,-6.500,9.269,6.500
8.768,-6.500,8.768,6.500
8.267,-6.500,8.267,6.500
7.766,-6.500,7.766,6.500
7.265,-6.500,7.265,6.500
6.764,-6.500,6.764,6.500
6.263,-6.500,6.263,6.500
5.762,-6.500,5.762,6.500
5.261,-6.500,5.261,6.500
4.760,-6.500,4.760,6.500
4.259,-6.500,4.259,6.500
3.758,-6.500,3.758,6.500
3.257,-6.500,3.257,6.500
2.756,-6.500,2.756,6.500
2.255,-6.500,2.255,6.500
1.754,-6.500,1.754,6.500
1.253,-6.500,1.253,6.500
0.752,-6.500,0.752,6.500
0.251,-6.500,0.251,6.500
-0.250,-6.500,-0.250,6.500
-0.751,-6.500,-0.751,6.500
-1.252,-6.500,-1.252,6.500
-1.753,-6.500,-1.753,6.500
-2.254,-6.500,-2.254,6.500
-2.755,-6.500,-2.755,6.500
-3.256,-6.500,-3.256,6.500
-3.757,-6.500,-3.757,6.500
-4.258,-6.500,-4.258,6.500
-4.759,-6.500,-4.759,6.500
-5.260,-6.500,-5.260,6.500
-5.761,-6.500,-5.761,6.500
-6.262,-6.500,-6.262,6.500
-6.763,-6.500,-6.763,6.500
-7.264,-6.500,-7.264,6.500
-7.765,-6.500,-7.765,6.500
-8.266,-6.500,-8.266,6.500
-8.767,-6.500,-8.767,6.500
-9.268,-6.500,-9.268,6.500
-9.769,-6.500,-9.769,6.500
-10.270,-6.500,-10.270,6.500
-10.771,-6.500,-10.771,6.500
-11.272,-6.500,-11.272,6.500
-11.773,-6.500,-11.773,6.500
-12.274,-6.500,-12.274,6.500
-12.775,-6.500,-12.775,6.500
-13.276,-6.500,-13.276,6.500
-13.777,-6.500,-13.777,6.500
-14.278,-6.500,-14.278,6.500
-14.779,-6.500,-14.779,6.500
-15.280,-6.500,-15.280,6.500
-15.781,-6.500,-15.781,6.500
-16.282,-6.500,-16.282,6.500
-16.783,-6.500,-16.783,6.500
-17.284,-6.500,-17.284,6.500
-17.785,-6.500,-17.785,6.500
-18.286,-6.500,-18.286,6.500
-18.787,-6.500,-18.787,6.500
-19.288,-6.500,-19.288,6.500
-19.789,-6.500,-19.789,6.500
-20.290,-6.500,-20.290,6.500
-20.791,-6.500,-20.791,6.500
-21.292,-6.500,-21.292,6.500
-21.793,-6.500,-21.793,6.500
-22.294,-6.500,-22.294,6.500
-22.795,-6.500,-22.795,6.500
-23.296,-6.500,-23.296,6.500
-23.797,-6.500,-23.797,6.500
-24.298,-6.500,-24.298,6.500
-24.799,-6.500,-24.799,6.500
-25.300,-6.500,-25.300,6.500
-25.801,-6.500,-25.801,6.500
-26.302,-6.500,-26.302,6.500
-26.803,-6.500,-26.803,6.500
-27.304,-6.500,-27.304,6.500
-27.805,-6.500,-27.805,6.500
-28.306,-6.500,-28.306,6.500
-28.807,-6.502,-28.807,6.502
-29.308,-6.506,-29.308,6.506
-29.809,-6.513,-29.809,6.513
-30.310,-6.524,-30.310,6.524
-30.811,-6.536,-30.811,6.536
-31.312,-6.554,-31.312,6.554
-31.813,-6.573,-31.813,6.573
-32.314,-6.598,-32.314,6.598
-32.815,-6.624,-32.815,6.624
-33.316,-6.655,-33.316,6.655
-33.817,-6.688,-33.817,6.688
-34.318,-6.724,-34.318,6.724
-34.819,-6.765,-34.819,6.765
-35.320,-6.807,-35.320,6.807
-35.821,-6.856,-35.821,6.856
-36.322,-6.904,-36.322,6.904
-36.823,-6.959,-36.823,6.959
-37.324,-7.015,-37.324,7.015
-37.825,-7.076,-37.825,7.076
-38.326,-7.140,-38.326,7.140
-38.828,-7.206,-38.828,7.206
-39.329,-7.277,-39.329,7.277
-39.830,-7.350,-39.830,7.350
-40.331,-7.429,-40.331,7.429
-40.832,-7.507,-40.832,7.507
-41.333,-7.593,-41.333,7.593
-41.834,-7.680,-41.834,7.680
-42.335,-7.772,-42.335,7.772
-42.836,-7.866,-42.836,7.866
-43.337,-7.964,-43.337,7.964
-43.838,-8.066,-43.838,8.066
-44.339,-8.170,-44.339,8.170
-44.840,-8.279,-44.840,8.279
-45.341,-8.390,-45.341,8.390
-45.842,-8.507,-45.842,8.507
-46.343,-8.624,-46.343,8.624
-46.844,-8.749,-46.844,8.749
-47.345,-8.874,-47.345,8.874
-47.846,-9.005,-47.846,9.005
-48.347,-9.139,-48.347,9.139
-48.848,-9.276,-48.848,9.276
-49.349,-9.417,-49.349,9.417
-49.850,-9.500,-49.850,9.500
-50.351,-9.500,-50.351,9.500
-50.852,-9.500,-50.852,9.500
-51.353,-9.500,-51.353,9.500
-51.854,-9.500,-51.854,9.500
-52.355,-9.500,-52.355,9.500
-52.856,-9.500,-52.856,9.500
-53.357,-9.500,-53.357,9.500
-53.858,-9.500,-53.858,9.500
-54.359,-9.500,-54.359,9.500
-54.860,-9.500,-54.860,9.500
-55.361,-9.500,-55.361,9.500
-55.862,-9.500,-55.862,9.500
-56.363,-9.500,-56.363,9.500
-56.864,-9.500,-56.864,9.500
-57.365,-9.500,-57.365,9.500
-57.866,-9.500,-57.866,9.500
-58.367,-9.500,-58.367,9.500
-58.868,-9.500,-58.868,9.500
-59.369,-9.500,-59.369,9.500
-59.870,-9.500,-59.870,9.500
-60.371,-9.500,-60.371,9.500
-60.872,-9.500,-60.872,9.500
-61.373,-9.500,-61.373,9.500
-61.874,-9.500,-61.874,9.500
-62.375,-9.500,-62.375,9.500
-62.876,-9.500,-62.876,9.500
-63.377,-9.500,-63.377,9.500
-63.878,-9.500,-63.878,9.500
-64.379,-9.500,-64.379,9.500
-64.880,-9.500,-64.880,9.500
-65.381,-9.500,-65.381,9.500
-65.882,-9.500,-65.882,9.500
-66.383,-9.500,-66.383,9.500
-66.884,-9.500,-66.884,9.500
-67.385,-9.500,-67.385,9.500
-67.886,-9.500,-67.886,9.500
-68.387,-9.500,-68.387,9.500
-68.888,-9.500,-68.888,9.500
-69.389,-9.500,-69.389,9.500
-69.890,-9.500,-69.890,9.500
-70.391,-9.500,-70.391,9.500
-70.892,-9.500,-70.892,9.500
-71.393,-9.500,-71.393,9.500
-71.894,-9.500,-71.894,9.500
-72.395,-9.500,-72.395,9.500
-72.896,-9.500,-72.896,9.500
-73.397,-9.500,-73.397,9.500
-73.898,-9.500,-73.898,9.500
-74.399,-9.500,-74.399,9.500
-74.900,-9.500,-74.900,9.500
-75.401,-9.500,-75.401,9.500
-75.902,-9.500,-75.902,9.500
-76.403,-9.500,-76.403,9.500
-76.904,-9.500,-76.904,9.500
-77.405,-9.500,-77.405,9.500
-77.906,-9.500,-77.906,9.500
-78.407,-9.500,-78.407,9.500
-78.908,-9.500,-78.908,9.500
-79.409,-9.500,-79.409,9.500
-79.910,-9.500,-79.910,9.500
-80.411,-9.500,-80.411,9.500
-80.912,-9.500,-80.912,9.500
-81.413,-9.500,-81.413,9.500
-81.914,-9.500,-81.914,9.500
-82.415,-9.500,-82.415,9.500
